,IG_OAS,HY_OAS,HY_IG_Spread
2023-05-08,1.49,4.72,322.99999999999994
2023-05-09,1.49,4.74,325.0
2023-05-10,1.49,4.78,329.0
2023-05-11,1.49,4.81,331.99999999999994
2023-05-12,1.48,4.76,328.0
2023-05-15,1.49,4.77,327.99999999999994
2023-05-16,1.49,4.79,330.0
2023-05-17,1.49,4.75,326.0
2023-05-18,1.47,4.69,322.00000000000006
2023-05-19,1.45,4.62,317.0
2023-05-22,1.44,4.54,310.0
2023-05-23,1.44,4.6,315.99999999999994
2023-05-24,1.44,4.68,324.0
2023-05-25,1.42,4.58,316.0
2023-05-26,1.41,4.53,312.0
2023-05-29,1.41,4.54,313.0
2023-05-30,1.4,4.58,318.0
2023-05-31,1.42,4.69,327.00000000000006
2023-06-01,1.42,4.65,323.00000000000006
2023-06-02,1.39,4.37,298.00000000000006
2023-06-05,1.39,4.39,300.0
2023-06-06,1.39,4.39,300.0
2023-06-07,1.39,4.33,294.00000000000006
2023-06-08,1.4,4.39,299.0
2023-06-09,1.4,4.29,289.0
2023-06-12,1.41,4.34,293.0
2023-06-13,1.39,4.18,279.0
2023-06-14,1.38,4.18,280.0
2023-06-15,1.37,4.21,284.0
2023-06-16,1.35,4.15,280.0
2023-06-19,1.35,4.15,280.0
2023-06-20,1.35,4.22,286.99999999999994
2023-06-21,1.35,4.32,297.0
2023-06-22,1.34,4.3,296.0
2023-06-23,1.35,4.4,305.0
2023-06-26,1.36,4.45,309.0
2023-06-27,1.34,4.3,296.0
2023-06-28,1.34,4.27,293.0
2023-06-29,1.31,4.14,282.99999999999994
2023-06-30,1.3,4.05,275.0
2023-07-03,1.29,3.99,270.0
2023-07-04,1.29,3.99,270.0
2023-07-05,1.28,4.01,272.99999999999994
2023-07-06,1.29,4.1,280.99999999999994
2023-07-07,1.28,4.08,280.0
2023-07-10,1.29,4.13,284.0
2023-07-11,1.28,4.05,276.99999999999994
2023-07-12,1.27,3.95,268.0
2023-07-13,1.27,3.97,270.0
2023-07-14,1.28,3.9,262.0
2023-07-17,1.29,3.97,268.0
2023-07-18,1.28,3.9,262.0
2023-07-19,1.28,3.89,261.00000000000006
2023-07-20,1.27,3.9,263.0
2023-07-21,1.26,3.89,263.0
2023-07-24,1.25,3.82,257.0
2023-07-25,1.24,3.84,259.99999999999994
2023-07-26,1.23,3.91,268.0
2023-07-27,1.2,3.78,258.0
2023-07-28,1.19,3.82,263.0
2023-07-31,1.19,3.79,260.0
2023-08-01,1.19,3.82,263.0
2023-08-02,1.21,3.96,275.0
2023-08-03,1.22,3.98,276.0
2023-08-04,1.22,4.01,279.0
2023-08-07,1.22,3.97,275.0
2023-08-08,1.23,4.0,277.0
2023-08-09,1.23,3.94,271.0
2023-08-10,1.22,3.83,261.00000000000006
2023-08-11,1.22,3.83,261.00000000000006
2023-08-14,1.22,3.79,257.0
2023-08-15,1.23,3.85,262.0
2023-08-16,1.25,3.81,256.0
2023-08-17,1.26,3.95,269.00000000000006
2023-08-18,1.27,4.02,274.99999999999994
2023-08-21,1.26,3.97,271.0
2023-08-22,1.25,3.93,268.0
2023-08-23,1.25,3.92,267.0
2023-08-24,1.23,3.91,268.0
2023-08-25,1.23,3.9,267.0
2023-08-28,1.22,3.86,263.99999999999994
2023-08-29,1.22,3.87,265.00000000000006
2023-08-30,1.22,3.8,258.0
2023-08-31,1.22,3.85,263.0
2023-09-01,1.22,3.81,259.0
2023-09-04,1.22,3.81,259.0
2023-09-05,1.22,3.83,261.00000000000006
2023-09-06,1.23,3.86,263.0
2023-09-07,1.23,3.9,267.0
2023-09-08,1.23,3.85,262.0
2023-09-11,1.23,3.82,259.0
2023-09-12,1.23,3.84,261.0
2023-09-13,1.24,3.85,261.00000000000006
2023-09-14,1.23,3.78,254.99999999999997
2023-09-15,1.22,3.79,257.0
2023-09-18,1.22,3.82,259.99999999999994
2023-09-19,1.21,3.82,261.0
2023-09-20,1.2,3.77,257.0
2023-09-21,1.2,3.89,269.00000000000006
2023-09-22,1.2,3.93,273.00000000000006
2023-09-25,1.19,3.97,278.0
2023-09-26,1.2,4.04,284.0
2023-09-27,1.21,4.03,282.0
2023-09-28,1.23,4.09,286.0
2023-09-29,1.24,4.03,279.0
2023-09-30,1.25,4.03,278.0
2023-10-02,1.26,4.11,285.00000000000006
2023-10-03,1.28,4.26,297.99999999999994
2023-10-04,1.29,4.37,308.0
2023-10-05,1.29,4.38,309.0
2023-10-06,1.29,4.33,304.0
2023-10-09,1.29,4.34,305.0
2023-10-10,1.29,4.26,297.0
2023-10-11,1.27,4.25,298.0
2023-10-12,1.26,4.25,299.0
2023-10-13,1.27,4.3,303.0
2023-10-16,1.27,4.27,299.99999999999994
2023-10-17,1.27,4.25,298.0
2023-10-18,1.29,4.32,303.0
2023-10-19,1.31,4.37,306.0
2023-10-20,1.33,4.52,318.99999999999994
2023-10-23,1.33,4.51,318.0
2023-10-24,1.31,4.41,310.0
2023-10-25,1.3,4.37,307.0
2023-10-26,1.3,4.5,320.0
2023-10-27,1.31,4.53,322.0
2023-10-30,1.32,4.5,318.0
2023-10-31,1.32,4.42,309.99999999999994
2023-11-01,1.33,4.47,313.99999999999994
2023-11-02,1.29,4.15,286.00000000000006
2023-11-03,1.29,4.04,275.0
2023-11-06,1.28,4.0,272.0
2023-11-07,1.29,4.08,279.0
2023-11-08,1.28,4.08,280.0
2023-11-09,1.27,4.04,277.0
2023-11-10,1.26,4.03,277.00000000000006
2023-11-13,1.25,4.03,278.0
2023-11-14,1.23,3.92,269.0
2023-11-15,1.22,3.89,267.0
2023-11-16,1.21,4.02,280.99999999999994
2023-11-17,1.2,3.99,279.0
2023-11-20,1.18,3.92,274.0
2023-11-21,1.17,3.95,278.0
2023-11-22,1.15,3.9,275.0
2023-11-23,1.15,3.9,275.0
2023-11-24,1.14,3.85,271.0
2023-11-27,1.14,3.89,275.0
2023-11-28,1.14,3.9,276.0
2023-11-29,1.11,3.8,268.99999999999994
2023-11-30,1.11,3.84,272.99999999999994
2023-12-01,1.11,3.87,276.0
2023-12-04,1.1,3.8,270.0
2023-12-05,1.11,3.8,268.99999999999994
2023-12-06,1.12,3.79,267.0
2023-12-07,1.11,3.77,266.0
2023-12-08,1.1,3.75,265.0
2023-12-11,1.1,3.79,269.0
2023-12-12,1.09,3.76,267.0
2023-12-13,1.08,3.79,271.0
2023-12-14,1.04,3.47,243.00000000000003
2023-12-15,1.04,3.51,246.99999999999997
2023-12-18,1.05,3.51,246.0
2023-12-19,1.05,3.46,241.0
2023-12-20,1.06,3.43,237.0
2023-12-21,1.07,3.41,234.0
2023-12-22,1.07,3.39,232.00000000000003
2023-12-26,1.06,3.37,231.0
2023-12-27,1.05,3.34,229.0
2023-12-28,1.04,3.32,227.99999999999997
2023-12-29,1.04,3.34,229.99999999999997
2023-12-31,1.04,3.39,235.0
2024-01-02,1.06,3.54,248.0
2024-01-03,1.09,3.71,262.0
2024-01-04,1.09,3.69,259.99999999999994
2024-01-05,1.09,3.68,259.0
2024-01-08,1.08,3.63,254.99999999999997
2024-01-09,1.06,3.59,252.99999999999997
2024-01-10,1.04,3.5,246.0
2024-01-11,1.03,3.55,251.99999999999994
2024-01-12,1.02,3.56,254.0
2024-01-15,1.02,3.54,252.0
2024-01-16,1.02,3.58,256.0
2024-01-17,1.02,3.62,260.0
2024-01-18,1.01,3.58,257.0
2024-01-19,1.01,3.54,253.00000000000003
2024-01-22,1.01,3.49,248.00000000000006
2024-01-23,1.01,3.51,250.0
2024-01-24,0.99,3.44,245.00000000000003
2024-01-25,0.98,3.45,247.00000000000003
2024-01-26,0.97,3.39,242.0
2024-01-29,0.98,3.41,243.00000000000003
2024-01-30,1.0,3.42,242.0
2024-01-31,1.02,3.59,257.0
2024-02-01,1.04,3.56,252.0
2024-02-02,1.02,3.47,245.00000000000003
2024-02-05,1.0,3.5,250.0
2024-02-06,1.0,3.52,252.0
2024-02-07,1.0,3.43,243.00000000000003
2024-02-08,0.99,3.38,238.99999999999997
2024-02-09,1.0,3.33,233.0
2024-02-12,1.0,3.35,235.0
2024-02-13,0.99,3.36,237.0
2024-02-14,0.98,3.38,240.0
2024-02-15,0.97,3.35,238.0
2024-02-16,0.96,3.34,238.0
2024-02-19,0.96,3.34,238.0
2024-02-20,0.96,3.37,241.0
2024-02-21,0.94,3.34,240.0
2024-02-22,0.93,3.22,229.0
2024-02-23,0.95,3.23,228.00000000000003
2024-02-26,0.96,3.23,227.0
2024-02-27,0.96,3.26,229.99999999999997
2024-02-28,0.98,3.31,233.0
2024-02-29,1.0,3.29,229.0
2024-03-01,1.01,3.32,230.99999999999997
2024-03-04,1.0,3.26,225.99999999999997
2024-03-05,1.01,3.31,229.99999999999997
2024-03-06,1.01,3.27,225.99999999999997
2024-03-07,1.0,3.27,227.0
2024-03-08,0.99,3.26,226.99999999999994
2024-03-11,0.98,3.26,227.99999999999997
2024-03-12,0.97,3.2,223.00000000000006
2024-03-13,0.95,3.15,220.00000000000003
2024-03-14,0.94,3.15,221.0
2024-03-15,0.93,3.16,223.0
2024-03-18,0.92,3.13,221.0
2024-03-19,0.92,3.1,218.00000000000003
2024-03-20,0.92,3.14,222.00000000000003
2024-03-21,0.91,3.05,213.99999999999997
2024-03-22,0.92,3.08,216.0
2024-03-25,0.92,3.11,219.0
2024-03-26,0.93,3.15,221.99999999999997
2024-03-27,0.94,3.15,221.0
2024-03-28,0.93,3.12,219.0
2024-03-31,0.94,3.15,221.0
2024-04-01,0.93,3.12,219.0
2024-04-02,0.93,3.23,229.99999999999997
2024-04-03,0.92,3.23,231.0
