,Fed_Balance_Sheet,TGA_Balance,RRP_Usage,Net_Liquidity,Net_Liq_Change_1d,Net_Liq_Change_5d,Net_Liq_Change_20d
2002-12-18,719542.0,,,719542.0,,,
2002-12-25,732059.0,,,732059.0,12517.0,,
2003-01-01,730994.0,,,730994.0,-1065.0,,
2003-01-08,723762.0,,,723762.0,-7232.0,,
2003-01-15,720074.0,,,720074.0,-3688.0,,
2003-01-22,735953.0,,,735953.0,15879.0,16411.0,
2003-01-29,712809.0,,,712809.0,-23144.0,-19250.0,
2003-02-05,719643.0,,,719643.0,6834.0,-11351.0,
2003-02-07,,,2.5,,,,
2003-02-10,,,,,,,
2003-02-11,,,,,,,
2003-02-12,713281.0,,,713281.0,,472.0,
2003-02-13,,,,,,,
2003-02-14,,,,,,,
2003-02-17,,,,,,,
2003-02-18,,,,,,,
2003-02-19,730400.0,,,730400.0,,17119.0,
2003-02-20,,,,,,,
2003-02-21,,,,,,,
2003-02-24,,,,,,,
2003-02-25,,,,,,,
2003-02-26,721980.0,,,721980.0,,-8420.0,-10079.0
2003-02-27,,,,,,,
2003-02-28,,,,,,,
2003-03-03,,,,,,,
2003-03-04,,,,,,,
2003-03-05,722649.0,,,722649.0,,669.0,9840.0
2003-03-06,,,,,,,
2003-03-07,,,,,,,
2003-03-10,,,,,,,
2003-03-11,,,,,,,
2003-03-12,717014.0,,,717014.0,,-5635.0,3733.0
2003-03-13,,,,,,,
2003-03-14,,,,,,,
2003-03-17,,,,,,,
2003-03-18,,,,,,,
2003-03-19,729923.0,,1.25,729921.75,,12907.75,-478.25
2003-03-20,,,,,,,
2003-03-21,,,,,,,
2003-03-24,,,,,,,
2003-03-25,,,,,,,
2003-03-26,725019.0,,,725019.0,,-4902.75,3039.0
2003-03-27,,,,,,,
2003-03-28,,,,,,,
2003-03-31,,,,,,,
2003-04-01,,,,,,,
2003-04-02,732452.0,,,732452.0,,7433.0,9803.0
2003-04-03,,,,,,,
2003-04-04,,,,,,,
2003-04-07,,,,,,,
2003-04-08,,,2.25,,,,
2003-04-09,727826.0,,,727826.0,,-4626.0,10812.0
2003-04-10,,,,,,,
2003-04-11,,,,,,,
2003-04-14,,,,,,,
