Date,Mfg_New_Orders,Mfg_Total_Inventories,Orders_YoY,Inventories_YoY,ISM_Spread,Initial_Claims,Initial_Claims_4WMA
1967-01-07,,,,,,208000.0,
1967-01-14,,,,,,207000.0,
1967-01-21,,,,,,217000.0,
1967-01-28,,,,,,204000.0,209000.0
1967-02-04,,,,,,216000.0,211000.0
1967-02-11,,,,,,229000.0,216500.0
1967-02-18,,,,,,229000.0,219500.0
1967-02-25,,,,,,242000.0,229000.0
1967-03-04,,,,,,310000.0,252500.0
1967-03-11,,,,,,241000.0,255500.0
1967-03-18,,,,,,245000.0,259500.0
1967-03-25,,,,,,247000.0,260750.0
1967-04-01,,,,,,259000.0,248000.0
1967-04-08,,,,,,257000.0,252000.0
1967-04-15,,,,,,299000.0,265500.0
1967-04-22,,,,,,245000.0,265000.0
1967-04-29,,,,,,255000.0,264000.0
1967-05-06,,,,,,254000.0,263250.0
1967-05-13,,,,,,231000.0,246250.0
1967-05-20,,,,,,230000.0,242500.0
1967-05-27,,,,,,228000.0,235750.0
1967-06-03,,,,,,248000.0,234250.0
1967-06-10,,,,,,238000.0,236000.0
1967-06-17,,,,,,224000.0,234500.0
1967-06-24,,,,,,218000.0,232000.0
1967-07-01,,,,,,209000.0,222250.0
1967-07-08,,,,,,240000.0,222750.0
1967-07-15,,,,,,241000.0,227000.0
1967-07-22,,,,,,240000.0,232500.0
1967-07-29,,,,,,209000.0,232500.0
1967-08-05,,,,,,221000.0,227750.0
1967-08-12,,,,,,202000.0,218000.0
1967-08-19,,,,,,215000.0,211750.0
1967-08-26,,,,,,213000.0,212750.0
1967-09-02,,,,,,218000.0,212000.0
1967-09-09,,,,,,231000.0,219250.0
1967-09-16,,,,,,220000.0,220500.0
1967-09-23,,,,,,209000.0,219500.0
1967-09-30,,,,,,204000.0,216000.0
1967-10-07,,,,,,231000.0,216000.0
1967-10-14,,,,,,206000.0,212500.0
1967-10-21,,,,,,223000.0,216000.0
1967-10-28,,,,,,207000.0,216750.0
1967-11-04,,,,,,222000.0,214500.0
1967-11-11,,,,,,214000.0,216500.0
1967-11-18,,,,,,198000.0,210250.0
1967-11-25,,,,,,191000.0,206250.0
1967-12-02,,,,,,196000.0,199750.0
1967-12-09,,,,,,221000.0,201500.0
1967-12-16,,,,,,204000.0,203000.0
1967-12-23,,,,,,219000.0,210000.0
1967-12-30,,,,,,216000.0,215000.0
1968-01-06,,,,,,222000.0,215250.0
1968-01-13,,,,,,222000.0,219750.0
1968-01-20,,,,,,221000.0,220250.0
1968-01-27,,,,,,198000.0,215750.0
1968-02-03,,,,,,244000.0,221250.0
1968-02-10,,,,,,210000.0,218250.0
1968-02-17,,,,,,196000.0,212000.0
1968-02-24,,,,,,193000.0,210750.0
1968-03-02,,,,,,190000.0,197250.0
1968-03-09,,,,,,204000.0,195750.0
1968-03-16,,,,,,190000.0,194250.0
1968-03-23,,,,,,200000.0,196000.0
1968-03-30,,,,,,192000.0,196500.0
1968-04-06,,,,,,191000.0,193250.0
1968-04-13,,,,,,171000.0,188500.0
